filename,percentage,patch_1,patch_2,patch_3,patch_4,patch_5,patch_6,patch_7,patch_8,patch_9
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210414-190000.netcdf,0.06070430839002267,100.1875,167.0,238.3125,180.0,700.0,424.0625,6.0,357.0,0.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210414-191000.netcdf,0.06318820861678004,93.5625,153.0,221.0,168.5625,739.0,415.375,5.0,371.0,0.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210414-192000.netcdf,0.06469342403628119,87.0,141.0,190.0,160.0,711.0,337.0625,5.0,385.0,0.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210414-193000.netcdf,0.06610589569160998,142.0625,160.0,206.0,163.1875,611.0,366.0,9.0,369.0,0.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210414-194000.netcdf,0.06712834467120181,169.0625,169.0,218.1875,163.0625,651.0,378.125,9.0,329.0,0.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210414-195000.netcdf,0.06859614512471655,180.0625,187.0,228.0,170.0625,789.75,423.1875,11.0,298.0,0.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210414-200000.netcdf,0.06896780045351474,184.0,181.0,225.125,177.8125,923.0,472.75,44.25,301.0,0.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210414-201000.netcdf,0.06889659863945578,170.5,191.125,185.1875,181.0,1062.9375,494.3125,77.25,286.0,0.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210414-202000.netcdf,0.06968616780045352,124.5,195.0,180.0625,159.0,1030.9375,394.0,79.0,241.0,0.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210414-203000.netcdf,0.06933605442176871,124.0,191.0,211.375,131.625,953.0,439.4375,79.0,247.0,0.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210414-204000.netcdf,0.0680092970521542,135.0,167.0,290.875,152.0625,1188.0,437.25,79.0,242.0,0.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210414-205000.netcdf,0.06668231292517007,165.0,160.25,325.875,178.375,1289.4375,459.0,114.0,219.0,0.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210414-210000.netcdf,0.06628208616780046,189.0,187.9375,413.0625,239.25,1139.125,466.0,208.0,183.0,0.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210414-211000.netcdf,0.06584988662131519,224.0,204.9375,429.5625,247.5,1081.25,437.9375,287.0,155.0,0.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210414-212000.netcdf,0.06400022675736962,235.0,220.0,415.0,260.0,901.8125,352.9375,327.0,169.0,0.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210414-213000.netcdf,0.06389614512471656,228.0,323.0625,387.0,275.0,660.0625,272.4375,371.0,257.5625,2.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210414-214000.netcdf,0.06306099773242631,230.375,369.0625,366.75,281.1875,875.6875,268.0,353.0,268.6875,2.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210414-215000.netcdf,0.061873922902494334,219.0,380.0,403.625,259.1875,1046.0,232.0,328.25,267.6875,2.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210414-220000.netcdf,0.06159750566893424,201.0,342.0,468.0,217.6875,1016.0,185.0,256.0,253.9375,2.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210415-190000.netcdf,0.06543560090702948,50.75,173.1875,184.125,186.0,356.0,230.0625,453.0,858.0,3.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210415-191000.netcdf,0.06644195011337868,48.3125,171.5625,140.0,218.0,341.0,234.0,443.0,889.0,6.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210415-192000.netcdf,0.06814013605442176,57.8125,157.0,133.1875,233.0,317.0,232.0,404.0,914.0,6.0
